Index	First Frame	Number Frames	Frames Missing	Position X [nm]	Position Y [nm]	Precision [nm]	Number Photons	Background variance	Chi square	PSF half width [nm]	Channel	Z Slice
236	415	1	0	6917.6	31566.1	22.6	1674	372.75	1.15	121.6	1	1
237	417	1	0	7729.5	17630.1	12.1	4104	371.84	1.04	137.8	1	1
238	417	1	0	11584.2	30427.5	13.2	2070	253.78	1.00	110.1	1	1
239	417	1	0	23663.4	14713.4	7.5	4782	196.15	0.98	128.2	1	1
240	417	1	0	11469.7	14065.4	12.2	5177	556.28	1.38	140.5	1	1
241	419	1	0	18252.7	26977.5	20.1	1702	205.38	0.91	129.0	1	1
242	419	1	0	8059.2	24153.0	11.1	2695	165.47	0.67	126.8	1	1
243	419	1	0	18297.0	11804.5	13.7	2203	105.34	0.83	134.0	1	1
244	419	1	0	7406.4	7185.3	17.7	1513	189.62	1.00	116.4	1	1
245	419	1	0	7023.2	31680.0	19.0	2963	411.27	1.15	145.3	1	1
246	420	1	0	18361.2	11777.5	18.3	1024	196.92	0.99	95.9	1	1
247	420	1	0	17030.8	28458.4	12.7	3431	422.15	1.29	123.8	1	1
248	421	1	0	29021.8	14329.0	15.4	1976	251.34	0.99	115.5	1	1
249	421	1	0	22773.3	22917.1	16.5	2411	302.22	1.15	127.3	1	1
250	421	1	0	9944.0	31739.2	10.4	5818	693.59	0.82	135.0	1	1
251	421	1	0	18016.0	26710.8	12.8	2242	304.22	0.83	110.0	1	1
252	421	1	0	17567.1	27469.9	9.1	3877	181.05	0.94	130.3	1	1
253	422	1	0	25125.7	11476.0	23.3	1436	208.61	1.14	125.3	1	1
254	422	1	0	22659.1	22662.5	15.7	3913	310.71	0.99	158.6	1	1
255	422	1	0	10548.8	14239.0	8.9	4159	90.19	1.00	143.5	1	1
256	423	1	0	17517.9	25556.9	21.4	4177	517.24	1.21	173.0	1	1
257	423	1	0	13543.1	4296.8	21.1	1772	317.23	1.08	125.6	1	1
258	423	1	0	22937.4	22609.6	16.0	4932	506.86	1.43	160.8	1	1
259	424	1	0	2733.2	17955.6	14.6	3310	159.29	0.92	160.1	1	1
260	424	1	0	20985.8	6838.1	11.4	2890	212.38	0.85	126.0	1	1
261	424	1	0	13797.5	12791.0	16.5	4348	530.79	0.99	155.0	1	1
262	425	1	0	20855.5	6931.1	9.6	3741	265.72	0.95	124.9	1	1
263	426	1	0	13076.9	16868.2	16.6	2150	247.88	0.82	128.7	1	1
264	426	1	0	22392.1	22667.5	16.8	2797	407.03	1.22	130.6	1	1
265	426	1	0	27767.7	14582.2	11.4	2867	313.80	1.14	113.8	1	1
266	427	1	0	12356.1	13397.7	18.3	3894	678.81	1.24	145.6	1	1
267	427	1	0	12008.2	14593.4	8.7	5884	352.31	0.98	139.3	1	1
268	428	1	0	17471.2	13364.8	16.1	2556	234.45	1.07	136.2	1	1
269	428	1	0	12034.7	14572.7	14.0	4768	324.29	1.10	162.1	1	1
270	429	1	0	13436.1	9310.1	13.4	3460	180.42	0.91	152.4	1	1
271	429	1	0	22711.9	22964.0	12.8	4420	319.68	1.14	149.3	1	1
